cutoff,horizon,MAE,RMSE
2020-01-31,Solar_+1h,576.89,1054.13
2020-04-30,Solar_+1h,170.49,283.16
2020-07-31,Solar_+1h,100.32,172.02
2020-10-31,Solar_+1h,110.61,212.42
2020-01-31,Solar_+24h,570.75,1047.6
2020-04-30,Solar_+24h,329.63,566.38
2020-07-31,Solar_+24h,147.67,254.31
2020-10-31,Solar_+24h,142.55,311.23
2020-01-31,Wind_+1h,2305.17,3046.21
2020-04-30,Wind_+1h,496.31,661.61
2020-07-31,Wind_+1h,470.98,628.56
2020-10-31,Wind_+1h,546.16,756.8
2020-01-31,Wind_+24h,5266.56,6141.82
2020-04-30,Wind_+24h,3232.21,3683.68
2020-07-31,Wind_+24h,1673.06,2299.8
2020-10-31,Wind_+24h,3503.32,3987.58
